account_id,customer_id,branch_id,account_type,open_date,balance,currency,account_status
1,23655,52,Business,2023-11-17,3518.34,INR,Active
2,4427,75,Premium,2011-11-19,19588.2,INR,Active
3,8323,22,Savings,2023-04-10,77253.98,INR,Active
4,8667,59,Savings,2021-09-07,84665.03,INR,Active
5,190,62,Salary,2021-09-25,15850.52,INR,Active
6,3557,51,Current,2014-10-08,12815.59,INR,Active
7,8793,60,Current,2013-07-30,6497.9,INR,Active
8,21871,60,Savings,2015-02-02,9414.13,INR,Active
9,14542,81,Savings,2012-04-05,7815.86,INR,Active
10,20228,54,Savings,2011-09-15,83207.27,INR,Active
11,4298,62,Premium,2017-08-05,11628.59,INR,Active
12,8530,53,Current,2017-12-21,9308.43,INR,Active
13,7209,29,Salary,2024-09-09,12679.68,INR,Active
14,2696,88,Savings,2021-08-26,9601.16,INR,Active
15,13987,35,Salary,2014-05-07,17221.34,INR,Active
16,8393,72,Savings,2021-02-27,27349.5,INR,Active
17,2455,62,Savings,2014-11-23,36379.27,INR,Active
18,14949,47,Salary,2017-09-16,19070.04,INR,Active
19,503,14,Savings,2021-03-12,6387.82,INR,Active
20,24243,63,Premium,2018-02-27,19919.83,INR,Active
21,12384,4,Premium,2015-08-05,38072.45,INR,Active
22,23053,32,Current,2018-11-11,207870.63,INR,Active
23,10922,45,Savings,2019-04-09,18188.42,INR,Active
24,16158,62,Savings,2019-08-28,19485.3,INR,Active
25,11495,62,Savings,2018-07-12,61603.89,INR,Active
26,7527,70,Savings,2014-08-08,9411.21,INR,Active
27,13546,44,Savings,2011-11-20,17290.74,INR,Active
28,21617,62,Business,2017-10-28,1179.94,INR,Active
29,11650,3,Savings,2013-02-11,12366.5,INR,Active
30,5856,97,Current,2013-07-29,20208.99,INR,Active
31,18092,90,Business,2014-04-10,5349.98,INR,Active
32,12689,38,Savings,2024-02-20,16356.67,INR,Closed
33,23510,11,Salary,2015-07-16,7389.99,INR,Active
34,15709,3,Current,2015-01-03,40448.92,INR,Active
35,1987,19,Savings,2022-10-08,25427.92,INR,Active
36,2386,1,Current,2019-05-16,4457.62,INR,Active
37,14487,31,Premium,2020-12-21,46752.95,INR,Active
38,11836,2,Business,2024-02-12,25127.99,INR,Active
39,19493,32,Current,2018-02-28,42521.82,INR,Active
40,4500,24,Savings,2022-11-30,3722.69,INR,Active
41,18033,72,Salary,2012-04-13,18990.36,INR,Active
42,14208,82,Savings,2016-05-21,5669.06,INR,Active
43,24737,68,Savings,2017-11-06,33656.88,INR,Active
44,20881,33,Savings,2015-03-25,61210.1,INR,Active
45,19831,22,Savings,2016-05-26,13177.52,INR,Active
46,16610,21,Savings,2019-04-07,21939.08,INR,Active
47,7997,48,Savings,2011-11-19,13175.31,INR,Active
48,10758,99,Salary,2020-09-06,16793.02,INR,Dormant
49,302,53,Current,2019-01-14,7762.39,INR,Active
50,6103,33,Savings,2023-07-06,33943.74,INR,Active
51,22239,54,Current,2016-11-04,3370.23,INR,Active
52,10730,2,Savings,2022-03-12,70793.57,INR,Active
53,12534,48,Current,2025-02-28,24786.2,INR,Active
54,8717,60,Savings,2011-11-28,24749.07,INR,Active
55,2369,8,Salary,2014-02-18,14501.7,INR,Active
56,854,51,Savings,2024-01-25,8173.97,INR,Closed
57,22678,58,Premium,2016-04-09,1224.34,INR,Active
58,22076,5,Savings,2011-10-19,22275.24,INR,Active
59,23412,94,Savings,2018-08-29,11747.16,INR,Active
60,5178,55,Savings,2017-06-24,7454.25,INR,Active
61,1151,9,Current,2021-01-04,8945.48,INR,Active
62,7806,48,Savings,2025-02-24,9123.27,INR,Active
63,3344,61,Salary,2025-06-16,97397.32,INR,Active
64,20634,16,Savings,2018-03-26,7665.53,INR,Active
65,9436,69,Savings,2018-05-23,22755.98,INR,Active
66,10458,90,Savings,2012-04-19,33845.48,INR,Active
67,5882,10,Premium,2023-07-15,13388.83,INR,Active
68,16365,4,Current,2021-11-03,33094.5,INR,Active
69,16348,32,Premium,2012-03-12,32824.38,INR,Active
70,5053,51,Salary,2017-01-10,117095.86,INR,Active
71,5537,40,Premium,2024-01-26,4629.97,INR,Active
72,2083,87,Savings,2021-06-18,5771.84,INR,Active
73,9818,34,Savings,2021-08-07,20504.89,INR,Active
74,413,36,Savings,2012-05-10,5816.82,INR,Active
75,11658,73,Current,2025-01-09,13028.81,INR,Active
76,2144,24,Premium,2018-01-10,15379.53,INR,Active
77,5645,23,Salary,2019-06-16,28550.31,INR,Active
78,729,86,Savings,2012-01-27,893.38,INR,Active
79,16780,61,Premium,2020-06-30,21385.11,INR,Active
80,21331,16,Savings,2014-01-24,11505.38,INR,Active
81,11131,85,Salary,2015-12-10,5773.44,INR,Active
82,9349,35,Premium,2020-05-03,13219.12,INR,Active
83,4847,76,Current,2025-01-07,4980.75,INR,Active
84,13965,40,Savings,2023-10-14,17897.65,INR,Active
85,17925,29,Savings,2017-10-27,18917.82,INR,Active
86,3142,31,Savings,2018-03-29,10671.48,INR,Active
87,20571,74,Premium,2015-08-20,9294.8,INR,Active
88,23004,72,Savings,2025-06-07,13286.78,INR,Active
89,6531,77,Savings,2018-08-04,2357.29,INR,Active
90,5030,6,Salary,2024-05-07,4851.46,INR,Dormant
91,1853,47,Premium,2016-12-13,15021.1,INR,Dormant
92,15762,47,Current,2021-12-11,5283.73,INR,Active
93,19969,54,Current,2017-08-24,20749.79,INR,Dormant
94,11024,72,Savings,2012-04-14,17178.2,INR,Active
95,9338,92,Current,2012-07-22,46125.47,INR,Active
96,4836,64,Savings,2018-01-02,1522.09,INR,Active
97,13217,84,Current,2024-08-10,11529.38,INR,Active
98,10137,66,Savings,2023-08-01,29105.19,INR,Active
99,5125,33,Salary,2024-12-15,1709.98,INR,Dormant
100,6939,49,Salary,2014-06-21,67822.34,INR,Active
101,8703,1,Savings,2011-09-30,18238.08,INR,Closed
102,5990,3,Current,2021-03-23,19202.93,INR,Active
103,4810,74,Savings,2014-12-14,3710.25,INR,Dormant
104,17101,4,Savings,2013-12-06,11261.49,INR,Active
105,3420,95,Savings,2014-02-18,205.65,INR,Active
106,4364,65,Current,2017-02-12,9682.59,INR,Active
107,4859,57,Current,2013-07-09,79766.13,INR,Active
108,15782,64,Savings,2023-04-14,38307.09,INR,Active
109,8018,30,Current,2022-11-22,16986.28,INR,Active
110,21500,30,Current,2024-11-04,987.29,INR,Active
111,4893,4,Savings,2013-12-30,1730.11,INR,Active
112,7942,53,Savings,2013-06-04,12498.24,INR,Active
113,12016,75,Savings,2014-05-10,221986.14,INR,Active
114,22416,8,Savings,2021-09-01,3560.92,INR,Active
115,18272,67,Savings,2013-12-20,7816.4,INR,Active
116,21509,82,Savings,2017-11-25,7549.18,INR,Active
117,6982,1,Savings,2023-10-04,6874.82,INR,Active
