complaint_id,customer_id,branch_id,complaint_date,complaint_type,channel,priority,resolution_status,resolution_date
1,23655,58,2025-10-15 20:04:09,ATM Issue,Web,Medium,In Progress,
2,15796,12,2022-03-29 14:50:15,Account Service,Phone,Medium,Resolved,2022-04-07 14:50:15
3,861,5,2025-06-11 17:01:16,Fraud Concern,Phone,Low,Resolved,2025-07-06 17:01:16
4,5391,60,2025-10-25 16:58:56,Fraud Concern,Branch,Medium,Resolved,2025-11-24 16:58:56
5,21576,41,2025-05-26 13:10:53,Investment Service,Phone,High,In Progress,
6,11965,20,2024-04-06 10:59:36,Investment Service,Phone,Low,Resolved,2024-04-17 10:59:36
7,11285,72,2024-10-19 20:57:49,Fraud Concern,Mobile,High,In Progress,
8,22119,1,2024-12-17 07:15:06,Transaction Issue,Web,Medium,Open,
9,6266,56,2022-02-09 01:08:57,Investment Service,Phone,High,Open,
10,16851,70,2024-03-27 04:00:21,Credit Card,Web,Medium,Resolved,2024-04-24 04:00:21
11,4427,56,2025-04-02 08:39:07,Credit Card,Web,Low,Resolved,2025-05-01 08:39:07
12,21963,54,2024-07-21 09:16:23,ATM Issue,Web,Medium,Resolved,2024-08-09 09:16:23
13,14424,11,2024-03-08 21:09:47,ATM Issue,Mobile,Medium,Resolved,2024-03-26 21:09:47
14,11364,3,2022-11-07 12:34:19,Fraud Concern,Phone,Low,Resolved,2022-11-23 12:34:19
15,16024,95,2024-03-09 21:28:03,Transaction Issue,Mobile,Medium,Resolved,2024-03-11 21:28:03
16,8323,28,2025-07-21 10:02:35,Fraud Concern,Web,Medium,Resolved,2025-07-22 10:02:35
17,1686,5,2024-01-18 08:37:32,Digital Banking,Branch,Medium,Resolved,2024-02-08 08:37:32
18,770,90,2024-01-03 15:07:00,Credit Card,Phone,Low,Open,
19,23334,16,2025-03-08 23:46:39,Fraud Concern,Phone,Medium,Resolved,2025-03-22 23:46:39
