credit_card_id,customer_id,issue_date,credit_limit,current_balance,interest_rate,card_status
1,23655,2022-03-29,500000,50375.42,26.009,Active
2,8323,2022-01-22,1000000,220356.55,18.17,Active
3,8667,2024-08-15,200000,38999.59,36.844,Active
4,24119,2022-06-16,500000,88635.19,18.318,Blocked
5,10254,2024-08-13,100000,24511.42,20.929,Active
6,12207,2023-07-20,200000,39949.91,31.121,Active
7,12991,2024-10-13,100000,22312.18,41.068,Active
8,24301,2023-06-05,100000,54487.7,36.534,Active
9,15423,2022-08-19,200000,16964.25,33.626,Active
10,8393,2022-04-09,500000,193208.93,32.191,Active
11,9763,2024-03-05,50000,14463.93,30.546,Active
12,24106,2022-04-06,500000,186837.42,34.692,Active
13,6375,2023-11-13,1000000,125526.83,37.395,Active
14,2694,2022-07-09,500000,131820.01,20.641,Active
15,6777,2022-11-14,500000,193017.61,23.331,Active
16,664,2023-03-18,200000,19654.44,41.099,Active
17,11650,2023-01-20,200000,56783.83,23.749,Active
18,18092,2024-02-06,100000,52461.67,37.275,Active
19,7778,2023-04-09,200000,57874.26,18.979,Active
20,23483,2023-05-04,500000,149887.11,34.583,Active
21,2386,2022-09-20,50000,17518.37,33.84,Active
22,9209,2024-11-26,500000,30826.96,39.183,Active
23,7401,2023-09-20,200000,67846.04,20.019,Active
24,9638,2024-08-14,500000,281860.46,23.382,Active
25,23329,2023-10-02,1000000,69757.31,31.639,Active
26,8051,2022-10-11,1000000,168740.72,34.054,Active
27,7997,2023-06-02,200000,79544.6,26.884,Active
28,18712,2022-05-08,1000000,338859.65,26.944,Active
29,23094,2023-05-05,100000,52589.66,39.057,Active
30,8097,2024-07-09,50000,32364.52,32.676,Active
31,19335,2024-04-13,50000,8452.71,28.523,Active
32,20531,2024-12-13,50000,14117.82,30.89,Active
33,14600,2024-09-18,1000000,359320.43,30.753,Active
34,6967,2024-12-17,500000,176883.19,19.883,Active
35,8309,2023-05-03,50000,17571.68,40.431,Active
36,13501,2024-09-23,1000000,376022.18,20.884,Active
37,9436,2022-12-23,1000000,149613.46,27.564,Active
38,2850,2023-05-31,500000,174372.52,32.78,Blocked
39,16348,2024-08-14,200000,103195.85,31.095,Blocked
40,8003,2024-10-18,50000,8922.74,37.547,Active
41,3268,2024-10-17,100000,27349.43,24.769,Active
42,18889,2023-10-25,200000,49959.98,40.338,Active
43,3441,2023-08-19,1000000,106136.92,37.835,Active
44,699,2022-05-24,200000,65143.44,28.763,Active
45,23577,2022-04-19,500000,178255.68,40.342,Closed
46,22926,2023-08-11,100000,42872.04,34.513,Active
47,7057,2024-03-05,1000000,149317.42,34.95,Active
48,21926,2022-08-05,200000,79714.83,32.205,Active
49,23804,2022-02-08,200000,39143.42,28.427,Active
50,21234,2024-10-21,500000,224047.35,34.345,Active
51,505,2023-11-16,500000,207183.29,41.277,Active
52,20560,2023-10-18,1000000,329917.1,35.69,Active
53,1354,2023-11-29,500000,142889.91,23.505,Active
54,4965,2023-04-06,50000,20024.95,34.434,Active
55,1582,2024-05-26,200000,49217.24,21.956,Active
56,2194,2023-11-20,50000,27636.91,38.12,Active
57,7267,2024-11-12,50000,8748.09,36.456,Blocked
58,20563,2023-03-25,50000,10304.25,34.121,Active
59,3420,2024-05-02,100000,27444.4,33.345,Active
60,15782,2022-09-06,500000,185861.03,30.336,Active
61,21500,2022-02-22,100000,6052.64,26.338,Active
62,12016,2023-10-29,200000,85686.66,34.021,Active
63,23162,2022-08-21,200000,37440.49,26.544,Active
64,10161,2022-08-27,100000,24432.94,30.28,Active
65,20528,2022-02-25,1000000,375190.74,29.629,Active
66,8151,2024-03-16,100000,51567.11,30.783,Active
67,8153,2022-05-06,1000000,458029.21,20.874,Active
68,11476,2022-04-21,50000,17774.73,35.684,Active
69,12200,2022-11-11,50000,1231.72,41.676,Active
70,17845,2022-12-16,1000000,249266.57,22.161,Active
71,13047,2023-10-08,200000,65623.52,41.402,Active
72,14310,2022-06-22,200000,45388.16,36.468,Active
73,9334,2022-03-31,500000,362967.76,36.427,Active
74,1918,2022-01-10,200000,40350.85,31.166,Active
75,7042,2022-11-14,1000000,24499.26,35.903,Active
76,1909,2024-05-22,200000,29446.95,36.012,Active
77,21205,2024-12-01,1000000,466460.53,27.419,Active
78,9511,2022-05-25,200000,166170.26,39.59,Active
79,18382,2023-01-26,1000000,598416.07,35.533,Active
80,24052,2024-10-17,1000000,263205.0,23.964,Active
81,5374,2024-03-16,500000,223172.11,30.876,Active
82,6360,2024-04-23,500000,180775.27,36.525,Active
83,2675,2024-05-21,200000,51233.19,32.001,Active
84,815,2024-09-11,100000,46582.39,24.144,Active
85,19916,2024-10-05,500000,46632.1,31.831,Active
86,21494,2023-02-24,200000,82001.82,20.992,Blocked
87,1855,2022-11-09,200000,60168.64,18.111,Active
88,16921,2023-10-02,100000,38487.19,23.391,Active
89,13491,2022-03-04,50000,3451.18,24.662,Active
90,16242,2022-12-08,1000000,242918.68,20.048,Closed
91,23089,2022-02-01,50000,24925.47,29.238,Active
92,9693,2024-09-14,200000,9949.2,29.546,Active
93,21311,2022-03-28,500000,332900.68,41.494,Active
94,19847,2022-11-24,1000000,302023.72,20.499,Active
95,6723,2024-03-24,200000,70430.7,37.925,Active
96,8357,2022-05-31,1000000,285073.92,38.355,Active
97,9107,2024-01-16,500000,93440.11,37.803,Active
98,11383,2024-12-12,500000,103989.45,25.067,Blocked
99,11094,2022-05-08,500000,85255.42,22.371,Active
100,2574,2023-05-09,50000,30198.68,41.626,Active
101,11373,2024-11-06,100000,35611.55,27.726,Active
102,12876,2024-03-31,1000000,117183.07,22.209,Active
103,2970,2024-03-29,1000000,488225.49,20.168,Active
104,20509,2024-01-14,1000000,202827.71,31.594,Active
105,23151,2024-08-15,1000000,220544.63,40.926,Active
106,14537,2022-03-02,100000,10552.47,34.522,Active
107,13351,2024-05-15,200000,14218.81,20.474,Active
108,16315,2022-01-12,200000,68596.34,31.006,Active
109,5896,2023-04-11,1000000,332028.42,29.746,Active
110,20378,2023-09-21,50000,19124.7,35.545,Active
111,8008,2024-09-21,100000,22840.7,25.658,Active
112,21777,2024-09-12,200000,57411.29,35.394,Active
113,24079,2023-05-08,50000,8468.52,32.781,Active
114,8503,2024-11-28,200000,63879.77,18.228,Active
115,18417,2023-01-12,1000000,118718.31,36.439,Active
116,3431,2022-11-20,500000,100503.15,35.173,Active
117,24558,2022-03-02,50000,15728.71,24.216,Active
118,807,2024-06-03,200000,46981.35,37.935,Active
119,7275,2023-12-28,100000,14197.68,39.211,Blocked
120,18298,2022-08-04,50000,11097.82,39.538,Active
121,21261,2024-08-09,1000000,104304.31,24.374,Active
122,17603,2024-08-12,50000,26814.21,24.753,Active
123,4134,2024-08-30,200000,63659.27,39.468,Closed
124,5234,2022-02-09,1000000,175392.75,31.578,Active
125,20696,2024-02-20,200000,77201.73,38.088,Active
126,13482,2024-04-05,500000,124426.61,29.171,Active
127,12714,2023-08-12,100000,31363.49,30.179,Active
128,21728,2023-12-01,1000000,238395.51,18.218,Active
129,1008,2023-07-26,200000,46295.29,22.308,Active
130,16662,2024-06-04,500000,114714.07,26.301,Active
131,16379,2024-10-27,100000,21968.85,19.575,Active
132,14415,2022-02-08,200000,51867.17,30.649,Active
133,17483,2024-04-28,500000,164583.06,41.118,Active
134,989,2023-07-24,1000000,414021.91,39.458,Active
135,1981,2022-07-27,200000,130204.42,31.038,Active
136,17369,2022-07-18,50000,24940.6,33.029,Active
137,8885,2023-03-31,500000,56956.17,21.004,Active
138,1764,2022-04-27,50000,6277.8,32.166,Active
139,20173,2023-08-30,50000,13848.72,35.325,Active
140,8921,2023-02-05,50000,7506.27,20.467,Active
141,15823,2022-01-02,500000,179173.09,30.822,Active
142,18334,2022-03-31,50000,21432.55,34.547,Active
143,3042,2022-01-09,100000,10296.07,40.469,Active
144,553,2022-04-21,100000,14316.16,37.556,Active
145,13396,2024-05-23,500000,176807.96,28.527,Active
146,7180,2023-11-16,500000,262955.42,22.371,Active
147,4791,2024-07-12,200000,56043.89,22.789,Active
148,6237,2024-01-02,50000,1221.01,26.905,Closed
149,6296,2023-08-01,100000,39576.69,32.345,Active
150,12583,2022-01-21,100000,24922.77,35.595,Active
151,19976,2023-01-16,500000,171418.47,28.687,Active
152,14297,2022-03-07,500000,48242.78,38.592,Active
153,13761,2024-04-23,500000,40014.84,37.893,Active
154,15636,2022-06-14,200000,37844.94,36.763,Active
155,14136,2022-11-30,500000,101796.07,19.37,Active
156,282,2024-10-05,1000000,78542.8,32.032,Active
157,8468,2024-11-28,1000000,575715.12,28.914,Active
158,3250,2024-01-16,500000,57681.33,35.59,Active
159,9557,2022-11-07,50000,6715.19,41.487,Active
