alert_id,transaction_id,customer_id,alert_date,fraud_type,risk_level,fraud_status,fraud_amount
1,987232,22323,2023-06-25 15:13:04,Velocity Anomaly,Medium,False Positive,1218.84
2,79955,13955,2024-04-21 23:33:41,Possible Account Takeover,Medium,False Positive,205.36
3,567131,11963,2025-10-03 23:39:00,Geographic Anomaly,Medium,False Positive,675.1
4,500892,11795,2022-05-09 01:42:27,Possible Account Takeover,Medium,Investigating,630.45
5,55400,10203,2024-07-29 16:40:36,Possible Account Takeover,Low,False Positive,474.92
6,135050,11790,2025-02-20 06:30:23,High Value Transaction,Low,Confirmed,658.69
7,733379,10064,2025-11-27 14:24:52,Geographic Anomaly,High,False Positive,251.28
8,732058,16597,2025-08-04 10:57:14,Geographic Anomaly,Medium,Open,356.73
9,51334,16610,2024-09-14 06:08:06,Geographic Anomaly,Medium,False Positive,693.15
10,731480,17659,2024-05-26 02:33:26,Possible Account Takeover,High,False Positive,498.48
11,399759,24175,2022-08-22 10:38:32,Velocity Anomaly,Medium,False Positive,377.07
12,401398,10532,2022-06-06 11:58:25,Geographic Anomaly,High,False Positive,4541.14
13,855486,23357,2025-04-23 01:12:05,Suspicious Merchant,Medium,False Positive,87.32
14,858885,803,2025-02-25 13:46:37,Possible Account Takeover,Low,False Positive,180.7
15,503248,23663,2024-07-02 21:11:44,High Value Transaction,High,Confirmed,1035.91
16,864742,2367,2022-09-03 06:34:17,Velocity Anomaly,Medium,False Positive,779.27
17,35033,14908,2022-01-12 02:19:38,Suspicious Merchant,High,Confirmed,684.33
18,995704,1589,2024-05-17 00:25:11,Suspicious Merchant,Medium,False Positive,109.55
19,376762,22885,2022-11-26 03:04:54,High Value Transaction,Medium,False Positive,605.47
20,811354,15717,2023-01-02 16:50:13,Velocity Anomaly,High,False Positive,1069.36
21,577746,1020,2025-09-18 06:37:51,Possible Account Takeover,Low,False Positive,979.75
22,659807,19570,2024-07-02 05:05:51,Unusual Transaction,High,False Positive,568.71
23,219340,21052,2023-05-04 15:34:03,Velocity Anomaly,Medium,False Positive,629.47
24,979756,2560,2023-10-21 07:32:00,High Value Transaction,Medium,Confirmed,230.54
25,625692,7389,2025-05-30 02:52:20,Suspicious Merchant,Medium,Closed,1162.39
26,215340,16324,2023-09-25 14:20:49,Possible Account Takeover,High,False Positive,266.82
27,443418,7005,2025-05-27 22:34:23,Velocity Anomaly,Low,Investigating,72.77
28,980329,3335,2024-11-08 16:06:34,Unusual Transaction,Medium,False Positive,455.85
29,336984,9690,2025-03-24 01:28:32,Unusual Transaction,High,False Positive,576.15
30,518813,11601,2023-03-04 16:29:58,Geographic Anomaly,High,Closed,2150.87
31,943379,24325,2025-02-06 02:57:58,Geographic Anomaly,Low,False Positive,1535.68
32,2086,23356,2025-11-14 02:12:32,High Value Transaction,Medium,Open,3418.57
33,663616,8521,2022-11-25 10:02:55,Velocity Anomaly,Medium,Confirmed,3188.75
34,677815,9287,2022-09-10 02:11:24,Velocity Anomaly,Medium,False Positive,2185.43
