investment_id,customer_id,investment_type,asset_name,investment_date,quantity,purchase_price,current_value,risk_level
1,6266,ETF,Government Bond,2025-05-23,184.251355,3909.47,798199.66,Low
2,1686,Mutual Fund,Large Cap Fund,2024-02-09,866.30997,3025.52,3079309.04,High
3,20940,ETF,Healthcare Fund,2022-01-22,213.126772,950.03,174139.38,Medium
4,24234,Fixed Deposit,Government Bond,2025-06-21,432.513074,1491.58,720681.94,Low
5,14503,Equity,SENSEX ETF,2023-01-23,47.403962,3057.35,123526.25,High
6,2613,Equity,SENSEX ETF,2025-09-25,965.666401,4051.57,3649420.38,High
7,8227,ETF,NIFTY 50 ETF,2025-11-12,683.580255,3069.48,2622623.59,High
8,9693,Bond,SENSEX ETF,2023-12-31,425.730719,1079.31,501135.56,Low
9,11535,ETF,Technology Fund,2025-06-29,395.755086,4636.96,2177096.35,Medium
10,17263,Equity,Large Cap Fund,2024-03-02,961.210852,4230.44,4873078.33,High
11,5277,Bond,NIFTY 50 ETF,2023-06-05,965.290052,3054.82,2699907.84,Low
12,6737,Equity,Technology Fund,2023-02-23,199.516966,77.33,19121.47,High
13,19484,Equity,Banking ETF,2022-07-20,606.354015,4635.19,3205861.1,High
14,19116,ETF,Technology Fund,2023-12-27,96.314706,1885.55,209084.11,Medium
15,20225,Mutual Fund,Large Cap Fund,2025-05-26,472.74271,641.99,357503.12,High
16,24243,Mutual Fund,Banking ETF,2025-06-18,710.952227,598.91,431587.72,Low
17,23277,ETF,Corporate Bond Fund,2023-06-09,509.06212,4542.45,2080170.17,Low
18,16313,Mutual Fund,Large Cap Fund,2023-10-08,162.060066,4652.0,930975.08,High
19,21977,ETF,Banking ETF,2022-07-09,883.396979,1655.51,1203983.01,Medium
20,22249,Equity,Government Bond,2025-10-14,272.860117,3256.07,666615.33,High
21,664,Mutual Fund,Mid Cap Fund,2025-06-10,485.345141,3477.56,1538693.12,Low
22,11650,ETF,Government Bond,2025-02-10,65.827355,1306.88,77264.44,Low
23,4738,Fixed Deposit,Mid Cap Fund,2024-05-04,285.555654,232.59,74104.57,Low
24,21557,Fixed Deposit,Healthcare Fund,2022-09-04,345.726177,3190.04,1277601.9,Low
25,2328,ETF,Large Cap Fund,2024-06-02,761.857996,1226.31,1108913.99,High
26,9340,Bond,Mid Cap Fund,2023-04-09,633.896181,2702.08,1377422.09,Low
27,1987,Fixed Deposit,Government Bond,2025-03-17,858.500446,1663.5,1259801.82,Low
28,4737,ETF,Energy Fund,2023-04-18,691.2468,1964.34,1781542.54,Low
29,14076,Bond,Healthcare Fund,2023-09-16,924.768925,4392.83,3675474.26,Low
30,14590,Equity,Large Cap Fund,2024-11-26,517.119255,1341.1,934680.88,High
31,1155,Mutual Fund,Corporate Bond Fund,2022-06-01,339.690761,1778.59,716287.54,High
32,9638,Equity,Technology Fund,2022-09-11,642.389615,466.49,253813.79,High
33,21358,Mutual Fund,SENSEX ETF,2024-04-01,940.193309,4869.64,4213741.52,Medium
34,21296,Mutual Fund,Corporate Bond Fund,2025-11-16,225.04504,3575.29,717984.94,Low
35,12758,Mutual Fund,Banking ETF,2024-11-11,308.752731,2735.57,891313.49,Low
36,15637,Fixed Deposit,NIFTY 50 ETF,2022-10-11,487.255411,4535.19,2233300.13,Low
37,4643,Equity,NIFTY 50 ETF,2022-01-17,196.047745,3626.14,652932.13,High
38,1061,ETF,Technology Fund,2025-10-04,953.974648,4578.58,4245964.2,Medium
39,191,Equity,Large Cap Fund,2024-07-16,553.212202,2882.85,2134195.2,High
40,22239,Equity,Mid Cap Fund,2023-07-24,317.605083,888.99,306087.44,High
41,3010,Mutual Fund,Healthcare Fund,2025-11-10,98.079317,3094.29,407894.23,Medium
42,7344,Bond,Banking ETF,2024-01-29,741.027849,3500.23,3038572.53,Low
43,22010,Bond,Banking ETF,2022-02-05,810.303281,4342.01,4566613.76,Low
44,10894,Fixed Deposit,Government Bond,2023-04-16,195.07968,401.16,77324.09,Low
45,20154,ETF,Mid Cap Fund,2022-11-10,94.887958,2912.49,213229.74,Medium
46,15339,Bond,Large Cap Fund,2024-09-19,31.46975,234.87,9191.67,Low
47,21254,Fixed Deposit,Corporate Bond Fund,2025-10-05,272.271373,4828.0,1346545.9,Low
48,13418,Mutual Fund,Government Bond,2023-10-19,139.214739,707.09,131091.17,High
49,19223,Mutual Fund,Energy Fund,2024-10-09,79.377925,175.49,18492.96,Medium
50,7806,Equity,Mid Cap Fund,2023-07-14,174.121026,824.36,129206.01,High
51,20455,Equity,Large Cap Fund,2024-02-29,660.537179,1435.67,1254544.43,High
52,13285,Fixed Deposit,Mid Cap Fund,2023-11-28,420.180462,1276.27,516734.28,Low
53,13246,Fixed Deposit,Corporate Bond Fund,2023-03-29,116.956568,277.71,25154.01,Low
54,23806,ETF,Large Cap Fund,2022-01-23,763.601059,4044.22,2957795.56,Medium
55,7391,Bond,Healthcare Fund,2024-02-01,616.234248,3193.71,1529553.79,Low
56,19224,Mutual Fund,Banking ETF,2022-09-15,501.538844,2719.92,1582923.87,Medium
57,6834,Equity,Government Bond,2023-01-15,867.331735,3200.2,3415609.67,High
58,8003,Equity,NIFTY 50 ETF,2025-04-06,458.794638,2750.8,1659447.78,High
59,3374,Bond,SENSEX ETF,2025-06-30,207.477676,1406.11,256363.96,Low
60,16282,Mutual Fund,Healthcare Fund,2024-10-18,683.323767,402.38,258841.84,Medium
61,5746,Bond,Technology Fund,2023-12-30,261.433834,2505.39,763547.18,Low
