loan_id,customer_id,branch_id,loan_type,application_date,approval_date,loan_amount,interest_rate,tenure_months,credit_score,loan_status,default_flag,outstanding_amount
1,6869,87,Business,2022-12-16,2023-01-09,121299.53,17.699,12,777,Active,False,12218.34
2,21018,98,Auto,2023-02-27,2023-03-12,50000.0,9.364,36,814,Defaulted,True,14139.0
3,11358,43,Education,2025-01-22,2025-02-20,315055.52,11.933,84,679,Active,False,251313.98
4,10113,42,Education,2022-01-09,2022-01-22,339897.37,17.287,36,701,Active,False,150380.22
5,18009,3,Auto,2022-11-20,2022-12-03,137426.65,8.214,120,660,Active,False,98544.58
6,22248,5,Business,2022-06-22,2022-07-13,119245.92,11.76,60,630,Active,False,88407.66
7,20365,37,Auto,2022-10-30,2022-11-03,115621.43,16.194,120,781,Active,False,40816.4
8,18942,72,Personal,2024-03-08,2024-03-09,297583.67,17.884,36,706,Active,False,171059.85
9,10696,77,Home,2023-03-26,2023-03-30,50000.0,7.682,24,730,Active,False,24325.51
10,7437,61,Education,2024-06-27,2024-07-12,171856.4,7.898,12,663,Active,False,142792.67
11,5300,47,Personal,2024-01-20,2024-02-18,283241.99,16.469,60,742,Active,False,241437.12
12,7673,81,Auto,2022-11-04,2022-12-01,146173.48,10.265,24,747,Active,False,37638.02
13,12467,19,Education,2023-04-11,2023-04-24,416783.59,14.148,36,677,Active,False,205130.4
14,8455,22,Education,2023-09-25,2023-10-02,182565.39,12.736,36,608,Active,False,48948.41
15,21339,99,Business,2024-05-14,2024-06-03,50000.0,17.776,24,651,Active,False,6089.06
16,13420,95,Auto,2023-07-25,2023-08-23,102348.06,12.091,60,841,Active,False,15690.95
17,21241,13,Personal,2023-11-09,2023-11-11,113787.16,8.482,60,751,Active,False,42770.81
18,1383,69,Auto,2022-05-09,2022-05-12,71170.02,9.942,24,619,Active,False,20779.91
19,9857,3,Education,2022-11-17,2022-12-17,50000.0,14.077,120,579,Active,False,23469.91
20,2203,25,Personal,2025-03-07,2025-03-11,204132.83,8.191,120,683,Active,False,36399.15
21,9731,75,Personal,2023-07-02,2023-07-25,50000.0,15.101,84,724,Active,False,25932.37
22,2787,88,Business,2022-09-17,2022-09-26,382666.7,15.096,12,802,Active,False,127301.63
23,6326,34,Business,2023-09-19,2023-10-14,244127.99,11.575,24,620,Active,False,60866.33
24,20708,69,Personal,2022-07-10,2022-07-20,114969.12,7.4,24,689,Active,False,43710.63
25,2553,90,Home,2023-09-29,2023-10-26,439736.22,14.857,48,756,Active,False,126548.13
26,2464,94,Auto,2022-06-24,2022-07-09,484909.91,10.351,60,745,Active,False,415206.83
27,7162,27,Auto,2022-09-13,2022-10-02,89614.55,14.118,48,711,Active,False,36545.52
28,907,54,Auto,2024-04-23,2024-05-04,59593.2,16.286,12,696,Active,False,45879.86
29,10754,45,Home,2024-04-26,2024-05-01,561820.92,11.925,12,742,Active,False,399915.29
30,10004,27,Education,2023-08-22,2023-08-31,193393.93,17.69,84,828,Active,False,24466.54
31,17852,80,Personal,2022-06-03,2022-06-08,67089.97,17.336,60,650,Defaulted,True,35351.2
32,9022,67,Personal,2024-02-13,2024-02-26,92409.38,13.552,12,667,Defaulted,True,67364.65
33,6688,66,Education,2022-07-12,2022-07-31,155891.4,11.12,12,745,Active,False,28325.25
34,22454,77,Business,2023-01-30,2023-02-11,450303.24,15.618,36,712,Active,False,246615.75
35,22802,37,Home,2022-05-28,2022-05-30,171916.87,16.878,120,730,Active,False,106659.84
36,933,79,Education,2024-07-02,2024-07-22,84187.92,16.826,48,765,Active,False,25455.1
37,8756,35,Home,2024-07-23,2024-07-24,66016.02,17.878,24,648,Active,False,31278.73
38,16865,86,Home,2023-08-21,2023-09-16,247161.09,7.174,84,668,Active,False,224134.53
39,18894,60,Auto,2023-08-03,2023-08-04,274374.58,15.924,36,784,Active,False,152761.4
40,16171,5,Auto,2025-03-30,2025-04-22,161878.78,10.296,120,626,Active,False,85683.81
41,258,15,Personal,2022-12-28,2023-01-15,220844.69,8.883,60,709,Active,False,112882.28
42,6557,62,Auto,2023-09-29,2023-10-19,641943.54,9.756,120,846,Active,False,429533.93
43,15806,24,Auto,2023-07-13,2023-07-22,994042.57,10.375,24,641,Active,False,266601.26
44,9940,34,Education,2023-06-16,2023-06-21,195198.94,9.332,60,675,Active,False,121053.71
45,24440,27,Personal,2025-05-15,2025-05-24,248982.14,11.989,120,784,Active,False,116585.26
46,10927,17,Business,2025-03-21,2025-04-19,145960.96,15.816,12,823,Active,False,42005.9
47,16559,14,Personal,2023-09-12,2023-10-05,84809.72,15.913,36,623,Active,False,60132.6
48,18529,54,Personal,2022-02-19,2022-03-02,53837.73,11.273,60,676,Active,False,42195.71
49,421,32,Personal,2024-07-04,2024-08-03,142464.38,13.525,36,725,Active,False,106288.59
50,18156,69,Home,2023-09-06,2023-10-02,335175.15,7.633,36,657,Active,False,148915.26
51,21159,88,Auto,2022-04-06,2022-04-10,146178.1,12.988,24,644,Active,False,89151.93
52,13833,40,Home,2022-07-11,2022-08-08,746591.72,10.028,84,569,Defaulted,True,603273.95
53,793,83,Auto,2023-11-28,2023-12-25,155199.83,10.729,24,701,Active,False,104883.34
54,7430,32,Education,2024-04-25,2024-05-05,193908.17,14.682,120,791,Active,False,116654.01
55,21747,97,Business,2023-07-31,2023-08-12,50000.0,14.552,120,683,Active,False,26440.76
56,20839,13,Auto,2023-06-30,2023-07-11,50000.0,10.935,12,759,Active,False,47050.89
57,644,32,Personal,2024-10-24,2024-10-30,840835.3,14.947,24,600,Active,False,505654.23
58,21580,2,Business,2025-02-06,2025-02-14,225137.78,15.134,24,707,Active,False,47975.87
59,16107,79,Auto,2022-05-25,2022-05-28,327919.32,12.944,24,629,Active,False,48329.72
60,21077,84,Business,2024-11-13,2024-12-09,308869.62,15.171,120,830,Active,False,69755.34
61,16936,15,Auto,2022-12-01,2022-12-12,182035.67,12.67,36,723,Active,False,82498.14
62,23278,54,Home,2023-05-05,2023-05-14,109157.54,11.08,120,679,Active,False,41125.0
63,10334,25,Education,2022-10-22,2022-11-15,50000.0,13.701,60,811,Active,False,17063.97
64,16785,74,Auto,2023-10-09,2023-10-31,158979.95,10.922,24,716,Active,False,47288.58
65,3996,99,Business,2022-08-18,2022-08-27,228221.06,9.733,36,671,Active,False,201019.89
66,7756,49,Home,2022-02-14,2022-02-26,147416.67,8.726,36,783,Active,False,85285.11
67,10820,57,Home,2023-11-27,2023-12-18,551401.31,16.783,36,735,Active,False,351982.76
68,3446,20,Business,2023-04-27,2023-05-24,161533.06,17.133,12,614,Active,False,93799.89
69,3052,54,Home,2023-08-06,2023-09-04,279764.8,11.571,60,782,Active,False,31342.96
70,2025,75,Business,2024-08-14,2024-09-04,367696.36,8.613,12,568,Active,False,303392.02
71,13806,5,Home,2022-11-15,2022-12-07,870787.41,12.783,48,610,Active,False,586581.46
72,1344,4,Business,2023-03-27,2023-04-24,188227.65,8.529,24,726,Active,False,33168.55
73,20805,58,Auto,2023-09-12,2023-09-19,275446.69,7.372,12,744,Active,False,242267.09
74,21679,64,Auto,2024-02-01,2024-02-02,98590.11,8.17,60,636,Active,False,28167.55
75,16197,91,Business,2022-10-30,2022-11-17,358891.24,14.845,48,679,Active,False,194988.57
76,6176,64,Personal,2022-11-24,2022-12-11,233676.6,13.98,36,772,Active,False,146439.06
77,15973,14,Home,2024-01-25,2024-02-11,50000.0,11.916,48,850,Active,False,11111.79
78,17027,62,Business,2025-05-20,2025-06-03,130344.06,17.615,24,702,Active,False,109974.39
79,6600,15,Personal,2023-05-31,2023-06-16,494208.57,15.501,60,682,Active,False,459402.1
80,21944,63,Business,2023-12-26,2024-01-18,559781.77,9.048,120,697,Active,False,215639.49
81,7676,69,Auto,2022-03-12,2022-04-10,148858.78,13.154,120,713,Active,False,93447.9
82,22447,96,Auto,2025-01-16,2025-02-07,236536.86,14.877,12,685,Active,False,203162.33
83,14343,72,Personal,2023-12-27,2024-01-22,129141.6,13.349,84,660,Active,False,69716.77
84,13878,38,Education,2024-09-09,2024-09-27,195248.51,15.119,120,767,Active,False,83920.32
85,3730,26,Education,2023-10-28,2023-11-25,50000.0,12.922,120,739,Active,False,37237.83
86,2891,22,Home,2022-11-05,2022-11-17,266793.51,17.896,36,753,Active,False,128622.67
87,4696,60,Auto,2023-06-13,2023-07-09,179665.19,7.553,12,678,Active,False,68757.15
88,19544,82,Home,2022-05-12,2022-05-16,56352.2,17.511,60,812,Active,False,28346.38
89,1316,2,Education,2022-11-22,2022-12-09,57896.31,10.221,36,661,Active,False,41963.14
90,4265,66,Education,2023-12-14,2023-12-30,609265.31,11.269,60,631,Active,False,296874.06
91,22901,10,Business,2025-05-15,2025-05-19,95446.34,8.517,24,800,Active,False,24088.27
92,16783,1,Business,2023-07-13,2023-07-25,244114.39,11.482,60,742,Active,False,219924.66
93,3978,85,Auto,2024-04-26,2024-05-01,182602.76,7.974,24,692,Active,False,118276.2
94,3375,39,Business,2025-02-15,2025-02-18,642060.09,13.076,120,758,Active,False,604319.49
95,18886,4,Education,2024-02-11,2024-03-11,291752.82,14.201,36,688,Active,False,177320.08
96,11851,25,Personal,2025-05-26,2025-06-24,145248.3,11.304,36,748,Active,False,90670.93
97,14433,51,Business,2023-10-09,2023-11-06,285039.95,12.233,12,726,Active,False,113479.62
98,11766,1,Home,2025-02-15,2025-03-17,180818.03,12.303,48,742,Active,False,89856.7
99,6467,34,Home,2024-08-07,2024-08-14,143275.1,11.357,24,785,Active,False,29535.77
100,14181,82,Education,2022-10-06,2022-10-31,276276.06,15.341,120,816,Active,False,212808.3
101,4576,30,Home,2022-10-14,2022-10-19,390053.36,8.232,120,664,Active,False,163431.72
102,24064,95,Home,2023-03-06,2023-04-05,116888.46,9.018,48,734,Active,False,18556.45
103,13916,38,Business,2022-06-27,2022-06-28,111331.8,16.172,84,819,Active,False,62720.28
104,13130,45,Business,2024-06-04,2024-07-03,173854.78,13.009,12,850,Active,False,71331.46
105,5685,49,Personal,2023-06-12,2023-06-17,845961.24,15.757,24,629,Active,False,198428.19
106,10519,51,Auto,2022-01-20,2022-02-03,225978.67,8.313,60,699,Active,False,58458.77
107,20139,30,Auto,2024-02-29,2024-03-05,108140.78,15.062,24,721,Active,False,41988.96
108,6676,94,Business,2022-10-16,2022-10-27,245877.94,8.293,84,674,Active,False,144196.02
109,2419,13,Auto,2023-08-01,2023-08-02,245927.28,13.993,12,697,Active,False,79154.57
110,10387,90,Auto,2024-01-17,2024-02-08,285969.55,8.856,12,608,Active,False,143727.12
111,7719,47,Home,2022-07-05,2022-08-02,247733.79,8.617,60,573,Active,False,161737.25
112,13176,47,Personal,2023-01-21,2023-02-18,193336.89,13.139,84,798,Active,False,83145.24
113,1148,9,Home,2023-06-12,2023-07-10,1185822.98,11.466,24,758,Active,False,761465.97
114,17861,80,Personal,2023-11-13,2023-11-25,172751.3,9.145,84,801,Active,False,149938.45
115,13696,79,Home,2025-03-26,2025-04-10,138677.57,8.458,12,759,Active,False,62114.57
116,20309,2,Home,2023-09-17,2023-10-16,350825.19,12.009,48,698,Active,False,131397.81
117,19535,56,Business,2023-06-17,2023-06-23,129438.39,17.795,60,729,Active,False,16044.4
118,21486,19,Education,2022-05-07,2022-05-12,77089.45,16.882,24,685,Active,False,33151.66
119,15757,28,Auto,2022-05-28,2022-05-29,419307.32,12.114,120,723,Active,False,176592.0
120,22052,9,Personal,2022-03-09,2022-03-17,172833.75,16.944,12,684,Active,False,114398.87
121,8159,17,Education,2024-02-10,2024-02-28,579713.35,8.127,120,630,Active,False,255162.09
122,19660,67,Education,2023-01-12,2023-01-15,186111.21,15.597,12,689,Active,False,165149.2
123,4970,40,Home,2022-08-20,2022-09-14,50000.0,17.644,60,683,Active,False,40122.03
124,15468,19,Education,2022-02-28,2022-03-04,161702.84,16.052,120,690,Active,False,149210.26
125,20982,1,Education,2022-05-16,2022-06-03,77082.08,7.051,12,618,Active,False,11159.03
126,21222,12,Auto,2023-12-09,2024-01-04,72744.99,9.864,36,601,Defaulted,True,47649.77
127,24002,9,Auto,2025-05-29,2025-06-17,71787.2,14.92,60,685,Active,False,41275.29
128,7863,81,Personal,2025-04-02,2025-04-23,129449.05,11.99,36,576,Active,False,99696.18
129,13172,1,Business,2024-04-26,2024-05-12,244366.29,10.447,60,653,Active,False,130807.19
130,12853,32,Business,2024-01-10,2024-01-22,387332.04,13.212,120,850,Active,False,58609.23
131,22654,93,Education,2023-05-03,2023-05-13,186132.89,12.792,48,689,Active,False,66270.9
132,62,55,Home,2024-11-01,2024-11-13,67592.45,9.744,36,825,Active,False,31112.46
133,21523,70,Home,2022-08-06,2022-08-18,155966.96,10.91,48,676,Active,False,115137.24
134,13313,73,Personal,2025-02-07,2025-02-14,244773.25,14.007,36,675,Active,False,43448.29
135,23574,81,Personal,2023-02-26,2023-03-21,1601763.32,7.888,48,757,Active,False,1049551.0
136,13364,36,Auto,2023-07-21,2023-07-22,305685.72,7.822,48,759,Active,False,257872.06
137,17034,16,Business,2024-08-23,2024-09-02,119927.47,12.322,60,720,Active,False,110583.16
138,24279,83,Personal,2023-02-04,2023-03-05,427189.83,8.815,36,625,Active,False,192994.2
139,22694,52,Business,2025-02-19,2025-03-18,54272.39,10.097,12,739,Active,False,13666.36
140,11283,62,Education,2025-02-18,2025-03-10,528721.02,16.87,36,625,Active,False,452614.13
141,5646,8,Home,2024-07-09,2024-07-18,95469.33,17.715,24,758,Active,False,89025.55
142,6009,52,Auto,2025-06-03,2025-07-03,262377.08,14.971,36,599,Active,False,183977.31
143,13754,8,Auto,2024-01-22,2024-01-23,68787.65,10.674,48,743,Active,False,35975.69
144,11808,95,Education,2024-11-19,2024-12-10,116288.53,11.114,48,689,Active,False,106293.2
145,2731,69,Home,2023-04-11,2023-05-01,63069.91,16.751,36,771,Active,False,40054.74
146,17015,38,Education,2024-05-08,2024-05-09,299469.35,10.936,48,608,Active,False,252678.02
147,1733,93,Business,2022-07-01,2022-07-17,239417.57,8.73,12,722,Active,False,33250.19
148,18051,60,Business,2022-01-17,2022-01-23,323329.68,12.095,48,737,Active,False,188645.41
149,23950,74,Education,2025-02-20,2025-02-28,177267.89,8.309,84,672,Active,False,40840.33
150,16892,19,Education,2023-08-21,2023-09-15,476951.59,7.691,60,725,Active,False,253748.07
151,17441,42,Home,2023-03-25,2023-03-26,50000.0,17.857,48,624,Active,False,7918.18
152,6950,85,Personal,2022-01-12,2022-01-31,55733.03,15.298,36,716,Active,False,44873.64
153,7918,5,Auto,2023-08-22,2023-08-25,120298.18,15.656,120,785,Active,False,40333.61
154,5859,28,Home,2024-10-20,2024-10-28,50000.0,7.385,60,691,Active,False,30725.02
155,3740,33,Home,2024-09-09,2024-09-20,146141.09,13.673,84,772,Active,False,44168.7
156,4577,85,Education,2023-11-07,2023-11-20,144547.41,16.109,48,557,Active,False,45004.98
157,1179,51,Business,2022-05-27,2022-06-10,75529.41,16.093,84,698,Active,False,24817.23
158,14927,35,Auto,2023-05-29,2023-06-28,50000.0,10.393,24,667,Active,False,20524.42
159,4563,30,Auto,2022-07-30,2022-08-09,50000.0,16.327,60,661,Active,False,31927.41
160,15354,80,Home,2023-10-10,2023-10-14,280845.81,16.418,12,808,Active,False,138306.12
161,23394,93,Education,2023-03-26,2023-04-18,213523.64,10.496,84,757,Active,False,149520.15
162,4036,67,Personal,2023-12-21,2024-01-02,51423.9,17.247,84,643,Active,False,46005.54
163,4267,56,Personal,2024-05-08,2024-05-10,127497.57,11.974,12,692,Active,False,65497.3
164,11980,5,Home,2025-03-01,2025-03-06,103823.09,7.497,84,706,Active,False,38310.9
165,15665,37,Home,2024-06-19,2024-06-22,450805.94,17.57,36,605,Active,False,126088.89
166,11085,17,Education,2024-11-17,2024-11-25,245172.35,13.719,48,698,Active,False,102573.3
167,4753,38,Home,2023-08-03,2023-08-12,202300.76,8.802,84,642,Active,False,142218.7
168,16600,3,Auto,2023-07-09,2023-07-31,50000.0,15.308,24,718,Active,False,12651.63
169,14563,52,Home,2025-04-08,2025-04-19,395601.33,12.659,84,803,Active,False,282093.54
170,5096,11,Personal,2023-06-29,2023-07-03,50000.0,11.605,48,658,Active,False,25534.39
171,18238,71,Personal,2022-08-13,2022-08-15,597288.5,16.235,84,744,Active,False,176271.1
