market_date,asset_name,asset_type,open_price,high_price,low_price,close_price,volume
2022-01-03,NIFTY 50,Index,7803.5323,7827.8785,7666.8078,7675.7245,4496915
2022-01-04,NIFTY 50,Index,7675.7245,7819.3419,7672.5645,7710.1549,8980043
2022-01-05,NIFTY 50,Index,7710.1549,7738.4364,7598.7676,7645.288,1933476
2022-01-06,NIFTY 50,Index,7645.288,7689.8186,7258.0586,7347.9763,8455855
2022-01-07,NIFTY 50,Index,7347.9763,7401.8166,7236.388,7303.0016,1555944
2022-01-10,NIFTY 50,Index,7303.0016,7378.1107,7150.4996,7236.2366,5942975
2022-01-11,NIFTY 50,Index,7236.2366,7276.4053,7226.822,7251.6736,1952389
2022-01-12,NIFTY 50,Index,7251.6736,7265.8393,7090.1835,7188.5564,8431116
2022-01-13,NIFTY 50,Index,7188.5564,7259.7486,7075.6909,7080.5607,2780787
2022-01-14,NIFTY 50,Index,7080.5607,7174.3813,7014.3122,7058.3153,4825133
2022-01-17,NIFTY 50,Index,7058.3153,7381.7765,6921.4426,7354.5859,10784707
2022-01-18,NIFTY 50,Index,7354.5859,7516.9977,7341.5694,7380.9122,7895164
2022-01-19,NIFTY 50,Index,7380.9122,7420.9683,7150.8852,7271.4069,671121
2022-01-20,NIFTY 50,Index,7271.4069,7350.3302,7106.6182,7126.7047,1355131
2022-01-21,NIFTY 50,Index,7126.7047,7295.9188,7016.7724,7191.072,7942577
2022-01-24,NIFTY 50,Index,7191.072,7207.7364,7047.0988,7170.8831,1752445
2022-01-25,NIFTY 50,Index,7170.8831,7179.9985,6967.2077,7010.8125,9817204
2022-01-26,NIFTY 50,Index,7010.8125,7227.982,6886.4109,7136.9773,1331467
2022-01-27,NIFTY 50,Index,7136.9773,7238.7855,6921.0777,7028.0139,3030372
2022-01-28,NIFTY 50,Index,7028.0139,7258.7571,6954.5384,7187.7713,4584452
2022-01-31,NIFTY 50,Index,7187.7713,7203.2813,7142.4553,7146.9478,3075985
2022-02-01,NIFTY 50,Index,7146.9478,7219.6423,6869.9911,6996.9958,9271832
2022-02-02,NIFTY 50,Index,6996.9958,7102.7276,6911.2343,6943.0053,733033
2022-02-03,NIFTY 50,Index,6943.0053,6965.3925,6794.2668,6922.9926,2133194
2022-02-04,NIFTY 50,Index,6922.9926,7098.7485,6811.7163,6977.1424,10409054
2022-02-07,NIFTY 50,Index,6977.1424,7250.4644,6932.7673,7122.8107,3896359
2022-02-08,NIFTY 50,Index,7122.8107,7183.6548,6981.4109,7097.5286,2262937
2022-02-09,NIFTY 50,Index,7097.5286,7129.0569,6800.6376,6816.98,4618210
2022-02-10,NIFTY 50,Index,6816.98,6909.718,6746.2483,6865.34,2768840
2022-02-11,NIFTY 50,Index,6865.34,6998.7723,6639.9627,6770.2835,13309102
2022-02-14,NIFTY 50,Index,6770.2835,6811.1722,6731.7145,6770.4307,613230
2022-02-15,NIFTY 50,Index,6770.4307,6851.0479,6763.46,6782.8559,2120984
2022-02-16,NIFTY 50,Index,6782.8559,6866.2397,6763.1999,6833.4988,2523030
2022-02-17,NIFTY 50,Index,6833.4988,6903.6416,6741.638,6870.3813,3244980
2022-02-18,NIFTY 50,Index,6870.3813,6970.4438,6742.576,6792.5396,7082523
2022-02-21,NIFTY 50,Index,6792.5396,7012.0925,6780.2737,6937.7511,13155174
2022-02-22,NIFTY 50,Index,6937.7511,6963.6315,6882.8652,6888.4827,8228897
2022-02-23,NIFTY 50,Index,6888.4827,7069.2325,6817.9318,7066.8881,7830911
2022-02-24,NIFTY 50,Index,7066.8881,7162.7054,6969.2325,7137.8135,962343
2022-02-25,NIFTY 50,Index,7137.8135,7226.2158,7089.1241,7206.3952,2783062
2022-02-28,NIFTY 50,Index,7206.3952,7301.5173,7052.8048,7169.9944,5700826
2022-03-01,NIFTY 50,Index,7169.9944,7354.2328,7156.6435,7318.8313,41415373
2022-03-02,NIFTY 50,Index,7318.8313,7369.9474,7058.9362,7162.9356,10753343
2022-03-03,NIFTY 50,Index,7162.9356,7243.6154,7139.7809,7231.4463,11040388
2022-03-04,NIFTY 50,Index,7231.4463,7259.4967,7216.7706,7258.1616,7628497
2022-03-07,NIFTY 50,Index,7258.1616,7380.1049,7163.5208,7279.3736,968152
2022-03-08,NIFTY 50,Index,7279.3736,7396.6894,7231.9995,7361.758,1258590
2022-03-09,NIFTY 50,Index,7361.758,7575.5095,7264.9343,7448.9923,11621757
2022-03-10,NIFTY 50,Index,7448.9923,7503.7746,7315.2738,7354.2813,3782371
2022-03-11,NIFTY 50,Index,7354.2813,7547.5005,7237.376,7453.4177,2572543
2022-03-14,NIFTY 50,Index,7453.4177,7837.8178,7424.3132,7761.3656,3590368
2022-03-15,NIFTY 50,Index,7761.3656,7765.1401,7552.8016,7651.5793,8685625
2022-03-16,NIFTY 50,Index,7651.5793,7799.508,7492.3937,7639.6276,6853985
2022-03-17,NIFTY 50,Index,7639.6276,7698.4677,7460.8661,7590.0699,7110263
2022-03-18,NIFTY 50,Index,7590.0699,7674.5931,7346.7373,7486.9155,1957218
2022-03-21,NIFTY 50,Index,7486.9155,7574.6143,7394.8254,7559.9214,19056855
2022-03-22,NIFTY 50,Index,7559.9214,7795.9131,7454.5337,7682.0999,3441303
2022-03-23,NIFTY 50,Index,7682.0999,7727.208,7451.2962,7573.8966,13020096
2022-03-24,NIFTY 50,Index,7573.8966,7749.7658,7496.4395,7610.7568,4227864
2022-03-25,NIFTY 50,Index,7610.7568,7878.2276,7503.9068,7777.1305,3292989
2022-03-28,NIFTY 50,Index,7777.1305,7859.3342,7718.7114,7806.5626,3898806
2022-03-29,NIFTY 50,Index,7806.5626,7833.8558,7733.8682,7828.2285,1388967
2022-03-30,NIFTY 50,Index,7828.2285,7920.7321,7615.917,7620.5656,4672965
2022-03-31,NIFTY 50,Index,7620.5656,7700.1614,7404.9418,7520.7605,2338880
2022-04-01,NIFTY 50,Index,7520.7605,7597.9625,7512.9868,7585.0152,917243
2022-04-04,NIFTY 50,Index,7585.0152,7959.2964,7474.867,7859.1039,20653880
2022-04-05,NIFTY 50,Index,7859.1039,7914.0365,7734.1148,7863.2468,5086365
2022-04-06,NIFTY 50,Index,7863.2468,7875.5852,7809.2163,7813.1777,615917
2022-04-07,NIFTY 50,Index,7813.1777,7840.2573,7700.8965,7725.0663,17215173
2022-04-08,NIFTY 50,Index,7725.0663,7875.1707,7623.0649,7764.2054,651982
2022-04-11,NIFTY 50,Index,7764.2054,7906.0323,7699.0481,7810.4757,17044719
2022-04-12,NIFTY 50,Index,7810.4757,7928.8585,7724.9828,7727.2073,908981
2022-04-13,NIFTY 50,Index,7727.2073,7742.327,7626.2812,7702.0098,21252937
2022-04-14,NIFTY 50,Index,7702.0098,7768.8404,7494.5037,7554.7155,2942827
2022-04-15,NIFTY 50,Index,7554.7155,7738.8491,7498.1137,7731.8435,12277314
2022-04-18,NIFTY 50,Index,7731.8435,7873.5496,7629.9851,7740.9487,34208918
2022-04-19,NIFTY 50,Index,7740.9487,7831.6379,7574.5957,7719.7628,3474275
2022-04-20,NIFTY 50,Index,7719.7628,7819.0835,7433.6096,7502.3693,11763837
2022-04-21,NIFTY 50,Index,7502.3693,7640.4628,7358.1451,7581.9148,3509458
2022-04-22,NIFTY 50,Index,7581.9148,7630.2838,7401.6489,7528.868,4023240
2022-04-25,NIFTY 50,Index,7528.868,7633.7809,7367.0065,7460.8556,2291028
2022-04-26,NIFTY 50,Index,7460.8556,7624.1879,7418.7712,7503.6078,5846268
2022-04-27,NIFTY 50,Index,7503.6078,7690.081,7354.9606,7567.9592,1606987
2022-04-28,NIFTY 50,Index,7567.9592,7685.4764,7317.0782,7367.2942,964562
2022-04-29,NIFTY 50,Index,7367.2942,7654.9118,7352.0993,7541.11,2106381
2022-05-02,NIFTY 50,Index,7541.11,7669.4545,7492.8394,7544.7463,8293097
2022-05-03,NIFTY 50,Index,7544.7463,7546.3816,7383.7681,7519.9364,7678806
2022-05-04,NIFTY 50,Index,7519.9364,7662.8245,7349.1875,7491.6192,1770735
2022-05-05,NIFTY 50,Index,7491.6192,7777.9013,7447.6868,7708.7621,9485046
2022-05-06,NIFTY 50,Index,7708.7621,7968.5305,7586.7202,7850.4017,987902
2022-05-09,NIFTY 50,Index,7850.4017,7936.6821,7701.8104,7770.4281,3240320
2022-05-10,NIFTY 50,Index,7770.4281,7788.6213,7714.6067,7736.7325,7303126
2022-05-11,NIFTY 50,Index,7736.7325,7826.0863,7723.7182,7810.2904,12709760
2022-05-12,NIFTY 50,Index,7810.2904,7938.6697,7652.2349,7761.8701,4008079
2022-05-13,NIFTY 50,Index,7761.8701,8048.2366,7608.8058,7898.5979,2028116
2022-05-16,NIFTY 50,Index,7898.5979,7911.7886,7700.6894,7822.2705,12738142
2022-05-17,NIFTY 50,Index,7822.2705,7964.0654,7568.7288,7585.5988,15713523
2022-05-18,NIFTY 50,Index,7585.5988,7656.7002,7544.9691,7553.4748,3254135
2022-05-19,NIFTY 50,Index,7553.4748,7789.5995,7408.1199,7699.7635,7066409
2022-05-20,NIFTY 50,Index,7699.7635,7833.5236,7501.4142,7535.1106,1405442
2022-05-23,NIFTY 50,Index,7535.1106,7695.087,7523.9893,7545.2437,8740730
2022-05-24,NIFTY 50,Index,7545.2437,7680.6343,7450.2644,7601.1118,3451607
2022-05-25,NIFTY 50,Index,7601.1118,7696.5146,7465.8637,7554.1435,20998614
2022-05-26,NIFTY 50,Index,7554.1435,7647.835,7501.9895,7543.8398,8678064
2022-05-27,NIFTY 50,Index,7543.8398,7597.1525,7440.3771,7528.2553,843185
2022-05-30,NIFTY 50,Index,7528.2553,7650.7845,7214.354,7314.5237,4697196
