mortgage_id,customer_id,branch_id,property_value,loan_amount,interest_rate,term_years,start_date,outstanding_balance,mortgage_status
1,11965,21,4295990.85,2976252.05,7.28,20,2022-11-27,1781321.91,Active
2,8323,22,3029640.84,1384990.39,6.782,25,2024-03-16,416198.2,Defaulted
3,8667,59,7306741.45,2943349.25,8.499,25,2023-12-01,1583919.83,Active
4,21043,55,7620048.04,5441250.63,11.416,10,2023-10-09,2235487.11,Active
5,22620,60,2349846.07,1031744.2,7.11,30,2024-02-15,332585.36,Active
6,3944,4,5504584.79,2771624.46,8.059,15,2023-12-04,2348910.44,Active
7,11535,72,4799966.12,3316338.82,9.352,25,2024-10-13,3066823.51,Active
8,17263,53,2974552.43,2078998.11,9.434,10,2024-02-03,1444014.42,Active
9,2569,88,2055683.68,835130.87,8.474,20,2023-08-16,636680.62,Active
10,3562,41,2464922.75,1583426.91,11.075,10,2024-02-19,815597.42,Active
11,10966,91,1778917.81,1230730.89,9.306,20,2023-09-05,1146564.73,Active
12,503,14,1693124.77,1166041.16,8.969,10,2022-07-26,673857.12,Active
13,18142,23,1498068.62,903976.96,9.522,20,2023-06-25,405631.47,Active
14,19542,28,5800011.1,2992229.1,11.148,30,2024-10-09,2592615.06,Active
15,11495,62,6951890.35,5272567.52,7.05,10,2023-09-25,4385245.02,Active
16,21960,27,3600395.69,1450170.44,8.587,30,2023-11-15,665166.48,Active
17,18238,58,3858262.62,2166547.45,11.312,15,2024-08-09,701910.49,Active
18,13878,87,1465659.24,880966.16,7.893,10,2023-01-20,401469.69,Active
19,4932,55,3940828.47,1957890.71,10.308,20,2023-02-05,1514116.43,Active
20,198,86,3255775.06,2125768.24,9.179,10,2022-07-06,895452.3,Active
21,1987,19,8357189.33,3398326.78,8.243,25,2023-05-04,2545718.98,Active
22,4737,11,5285480.96,4094619.8,8.205,10,2022-05-31,2669451.27,Active
23,16372,60,2317294.82,1837307.37,7.804,10,2022-09-11,1622691.95,Active
24,10249,99,2452567.97,1602116.93,10.002,20,2023-02-08,1404425.6,Active
25,9638,84,2248977.9,1044990.92,9.403,10,2022-04-09,974852.69,Active
26,11970,54,3714443.9,1939480.33,8.742,30,2022-06-10,604631.03,Active
27,1219,17,2534761.8,1768422.73,8.04,25,2024-08-12,953206.86,Active
28,14374,51,1772898.71,882187.05,10.96,20,2022-01-27,720418.07,Active
29,7997,48,2826186.24,1351191.71,7.904,20,2024-12-08,443653.6,Defaulted
30,17454,6,14593591.35,8580707.82,8.351,10,2024-11-26,7751872.07,Active
31,6103,33,2548832.0,1412152.56,8.085,15,2023-07-20,1062530.94,Active
